Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2020,Douglas,NE,Passenger,0,1,1,58,59,1.69
November 30 2017,Prince George's,MD,Passenger,0,1,1,184,185,0.54
January 31 2022,Franklin,WA,Passenger,169,101,270,62087,62357,0.43
February 28 2021,Clackamas,OR,Passenger,3,0,3,192,195,1.54
February 29 2020,Yakima,WA,Truck,0,0,0,59610,59610,0.00
June 30 2019,Cowlitz,WA,Truck,0,0,0,28858,28858,0.00
October 31 2018,Albemarle,VA,Passenger,1,0,1,27,28,3.57
May 31 2023,San Juan,WA,Truck,12,0,12,5926,5938,0.20
April 30 2018,Klamath,OR,Passenger,1,0,1,36,37,2.70
April 30 2020,Suffolk,MA,Passenger,0,2,2,40,42,4.76
May 31 2020,Mason,WA,Passenger,157,133,290,47155,47445,0.61
December 31 2021,Columbia,WA,Passenger,6,2,8,2447,2455,0.33
March 31 2017,Pend Oreille,WA,Truck,0,0,0,5583,5583,0.00
August 31 2019,Osceola,FL,Passenger,1,0,1,44,45,2.22
January 31 2017,Essex,MA,Passenger,1,0,1,30,31,3.23
March 31 2021,Monroe,IL,Passenger,1,0,1,2,3,33.33
November 30 2018,Whatcom,WA,Passenger,731,354,1085,149077,150162,0.72
February 28 2022,Clallam,WA,Passenger,394,239,633,50096,50729,1.25
December 31 2017,Kittitas,WA,Passenger,36,26,62,28438,28500,0.22
June 30 2021,,,Passenger,4,2,6,334,340,1.76
April 30 2018,Monterey,CA,Passenger,0,1,1,193,194,0.52
June 30 2018,Lincoln,WA,Truck,0,0,0,4558,4558,0.00
April 30 2019,San Juan,PR,Passenger,0,1,1,3,4,25.00
April 30 2022,Plaquemines,LA,Passenger,1,1,2,20,22,9.09
November 30 2019,Shasta,CA,Passenger,1,0,1,39,40,2.50
June 30 2018,Camden,NJ,Passenger,0,1,1,31,32,3.12
October 31 2022,Clark,WA,Passenger,4582,1918,6500,314493,320993,2.02
September 30 2023,Richland,SC,Passenger,0,1,1,111,112,0.89
July 31 2019,El Paso,CO,Passenger,3,2,5,751,756,0.66
July 31 2019,,,Passenger,6,2,8,400,408,1.96
March 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
February 29 2020,Greene,MO,Passenger,0,1,1,34,35,2.86
May 31 2017,Yakima,WA,Passenger,42,55,97,159351,159448,0.06
June 30 2020,King,WA,Truck,5,1,6,182092,182098,0.00
January 31 2022,Fulton,GA,Passenger,0,1,1,81,82,1.22
November 30 2024,Alexandria,VA,Passenger,4,0,4,71,75,5.33
October 31 2021,Wilson,TX,Passenger,0,1,1,3,4,25.00
October 31 2022,Spokane,WA,Truck,14,0,14,101669,101683,0.01
July 31 2024,Kittitas,WA,Truck,34,0,34,14629,14663,0.23
June 30 2018,Ramsey,MN,Passenger,1,0,1,43,44,2.27
May 31 2020,Solano,CA,Passenger,1,0,1,211,212,0.47
April 30 2024,Montgomery,OH,Passenger,0,1,1,39,40,2.50
April 30 2024,Middlesex,NJ,Passenger,1,0,1,21,22,4.55
May 31 2019,Douglas,NE,Passenger,0,1,1,67,68,1.47
November 30 2022,Richland,SC,Passenger,0,1,1,132,133,0.75
July 31 2018,San Juan,WA,Truck,0,0,0,5728,5728,0.00
September 30 2017,Monterey,CA,Passenger,0,2,2,200,202,0.99
September 30 2017,Volusia,FL,Passenger,0,1,1,44,45,2.22
May 31 2021,Columbia,OR,Passenger,1,0,1,19,20,5.00
December 31 2022,Skagit,WA,Truck,11,0,11,32097,32108,0.03
May 31 2024,Isle of Wight,VA,Passenger,0,1,1,16,17,5.88
June 30 2022,Penobscot,ME,Passenger,0,2,2,8,10,20.00
June 30 2024,Hamilton,OH,Passenger,2,0,2,26,28,7.14
January 31 2024,Grays Harbor,WA,Truck,16,0,16,20781,20797,0.08
March 31 2020,Norfolk,VA,Passenger,2,2,4,335,339,1.18
October 31 2019,Hillsborough,FL,Passenger,0,1,1,200,201,0.50
December 31 2021,Hennepin,MN,Passenger,3,0,3,76,79,3.80
February 29 2020,Lake,FL,Passenger,1,0,1,26,27,3.70
January 31 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
September 30 2020,Adams,WA,Passenger,8,7,15,12907,12922,0.12
March 31 2020,San Francisco,CA,Passenger,2,2,4,106,110,3.64
March 31 2018,Montgomery,TN,Passenger,1,0,1,273,274,0.36
January 31 2021,Sarasota,FL,Passenger,2,0,2,39,41,4.88
November 30 2023,Wahkiakum,WA,Truck,4,0,4,1759,1763,0.23
June 30 2019,Fulton,GA,Passenger,1,3,4,105,109,3.67
October 31 2022,Chatham,NC,Passenger,1,0,1,6,7,14.29
December 31 2018,Muskogee,OK,Passenger,0,1,1,2,3,33.33
February 28 2021,Whatcom,WA,Passenger,1273,570,1843,149911,151754,1.21
March 31 2020,Mason,WA,Passenger,153,132,285,47489,47774,0.60
February 28 2018,Flathead,MT,Passenger,1,0,1,61,62,1.61
October 31 2023,Stevens,WA,Truck,2,0,2,18667,18669,0.01
May 31 2022,Sarpy,NE,Passenger,1,0,1,64,65,1.54
December 31 2021,Richland,SC,Passenger,0,2,2,142,144,1.39
February 28 2021,Grant,WA,Truck,0,0,0,27647,27647,0.00
September 30 2021,Fairbanks North Star,AK,Passenger,0,1,1,85,86,1.16
August 31 2024,Kitsap,WA,Passenger,4825,1737,6562,173978,180540,3.63
December 31 2018,Benton,WA,Passenger,227,232,459,132887,133346,0.34
May 31 2019,St. Clair,IL,Passenger,0,1,1,164,165,0.61
August 31 2023,Marion,IN,Passenger,1,0,1,34,35,2.86
October 31 2020,Snohomish,WA,Passenger,4820,1805,6625,537560,544185,1.22
March 31 2017,Skamania,WA,Truck,0,0,0,3881,3881,0.00
October 31 2020,Adams,WA,Truck,0,0,0,5333,5333,0.00
March 31 2024,Jefferson,KY,Passenger,1,0,1,28,29,3.45
September 30 2023,Garfield,OK,Passenger,1,0,1,16,17,5.88
July 31 2023,Pima,AZ,Passenger,1,0,1,222,223,0.45
July 31 2022,Essex,MA,Passenger,3,0,3,19,22,13.64
December 31 2022,Wichita,TX,Passenger,1,0,1,42,43,2.33
April 30 2024,Galveston,TX,Passenger,1,1,2,18,20,10.00
July 31 2022,Whatcom,WA,Passenger,1860,750,2610,148536,151146,1.73
June 30 2022,Clallam,WA,Passenger,422,245,667,49730,50397,1.32
August 31 2024,Cumberland,PA,Passenger,1,0,1,34,35,2.86
October 31 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
January 31 2024,Charlottesville,VA,Passenger,0,2,2,5,7,28.57
March 31 2018,Shelby,TN,Passenger,0,1,1,104,105,0.95
June 30 2024,Kings,NY,Passenger,1,0,1,32,33,3.03
August 31 2017,Okanogan,WA,Passenger,4,18,22,25662,25684,0.09
August 31 2023,Skamania,WA,Passenger,115,55,170,8060,8230,2.07
February 28 2022,Okaloosa,FL,Passenger,0,1,1,115,116,0.86
August 31 2018,Nueces,TX,Passenger,1,1,2,89,91,2.20
October 31 2023,Washoe,NV,Passenger,2,0,2,54,56,3.57
July 31 2023,Pettis,MO,Passenger,1,0,1,5,6,16.67
May 31 2019,El Paso,TX,Passenger,3,0,3,476,479,0.63
November 30 2017,Grays Harbor,WA,Truck,0,0,0,20015,20015,0.00
March 31 2023,Salt Lake,UT,Passenger,3,1,4,142,146,2.74
October 31 2021,Yavapai,AZ,Passenger,0,1,1,43,44,2.27
March 31 2024,Denton,TX,Passenger,1,0,1,42,43,2.33
November 30 2019,Harrison,MS,Passenger,1,0,1,64,65,1.54
November 30 2023,Collin,TX,Passenger,5,0,5,52,57,8.77
November 30 2023,Garfield,OK,Passenger,1,0,1,17,18,5.56
December 31 2017,Kitsap,WA,Passenger,694,370,1064,175840,176904,0.60
April 30 2019,Lake,CA,Passenger,0,1,1,11,12,8.33
December 31 2023,Madison,IL,Passenger,2,0,2,15,17,11.76
June 30 2018,Skamania,WA,Passenger,11,9,20,8657,8677,0.23
February 28 2019,Douglas,WA,Passenger,52,35,87,27930,28017,0.31
April 30 2022,Montgomery,MD,Passenger,4,2,6,213,219,2.74
May 31 2021,Tarrant,TX,Passenger,2,0,2,164,166,1.20
September 30 2018,Mason,WA,Truck,0,0,0,20079,20079,0.00
January 31 2019,Marion,OR,Passenger,1,0,1,121,122,0.82
October 31 2021,Sarasota,FL,Passenger,2,0,2,45,47,4.26
December 31 2023,Yuba,CA,Passenger,1,0,1,47,48,2.08
December 31 2022,Okanogan,WA,Passenger,96,52,148,26134,26282,0.56
July 31 2024,Jefferson,WA,Truck,28,0,28,9096,9124,0.31
February 28 2022,Philadelphia,PA,Passenger,1,0,1,48,49,2.04
June 30 2022,Palm Beach,FL,Passenger,1,1,2,61,63,3.17
July 31 2021,Montgomery,MD,Passenger,3,1,4,227,231,1.73
March 31 2022,Sonoma,CA,Passenger,0,1,1,91,92,1.09
February 29 2024,Harford,MD,Passenger,1,1,2,43,45,4.44
August 31 2018,Tulsa,OK,Passenger,1,0,1,54,55,1.82
May 31 2024,King,WA,Passenger,77912,18920,96832,1307448,1404280,6.90
July 31 2021,Okanogan,WA,Passenger,64,42,106,26518,26624,0.40
April 30 2024,Rock Island,IL,Passenger,0,1,1,10,11,9.09
March 31 2020,Lake,CA,Passenger,0,1,1,11,12,8.33
March 31 2024,Portsmouth,VA,Passenger,0,2,2,56,58,3.45
June 30 2017,Tarrant,TX,Passenger,1,0,1,254,255,0.39
June 30 2020,Collin,TX,Passenger,2,1,3,134,137,2.19
December 31 2021,Douglas,WA,Truck,0,0,0,12690,12690,0.00
April 30 2020,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
February 28 2023,Dorchester,SC,Passenger,1,0,1,54,55,1.82
June 30 2021,Sarasota,FL,Passenger,2,0,2,40,42,4.76
May 31 2021,Whitman,WA,Truck,0,0,0,8569,8569,0.00
November 30 2022,Mercer,NJ,Passenger,0,1,1,13,14,7.14
June 30 2019,Sumter,FL,Passenger,0,1,1,10,11,9.09
September 30 2022,Benton,WA,Truck,5,0,5,43340,43345,0.01
March 31 2019,Adams,WA,Truck,0,0,0,5100,5100,0.00
June 30 2019,Middlesex,MA,Passenger,1,0,1,117,118,0.85
October 31 2021,Montgomery,MD,Passenger,3,2,5,225,230,2.17
December 31 2023,Ray,MO,Passenger,0,1,1,0,1,100.00
January 31 2023,Chelan,WA,Passenger,555,145,700,54263,54963,1.27
October 31 2019,Salt Lake,UT,Passenger,1,0,1,216,217,0.46
April 30 2023,Solano,CA,Passenger,5,1,6,151,157,3.82
February 28 2022,Pend Oreille,WA,Truck,0,0,0,5706,5706,0.00
September 30 2024,Berkeley,SC,Passenger,1,1,2,79,81,2.47
February 28 2021,Bartow,GA,Passenger,0,1,1,5,6,16.67
March 31 2020,Kootenai,ID,Passenger,1,2,3,236,239,1.26
February 29 2024,Los Angeles,CA,Passenger,11,3,14,596,610,2.30
March 31 2021,Stafford,VA,Passenger,2,1,3,106,109,2.75
July 31 2020,Santa Cruz,CA,Passenger,1,0,1,33,34,2.94
January 31 2023,Lane,OR,Passenger,0,2,2,104,106,1.89
September 30 2023,Wichita,TX,Passenger,1,0,1,34,35,2.86
April 30 2023,Randolph,NC,Passenger,1,0,1,1,2,50.00
April 30 2017,Cowlitz,WA,Truck,0,0,0,27851,27851,0.00
May 31 2020,Kittitas,WA,Truck,0,0,0,14553,14553,0.00
September 30 2019,Owyhee,ID,Passenger,1,0,1,4,5,20.00
September 30 2024,Geary,KS,Passenger,1,0,1,61,62,1.61
June 30 2020,Polk,FL,Passenger,1,0,1,77,78,1.28
July 31 2021,Essex,MA,Passenger,1,0,1,19,20,5.00
June 30 2022,Juneau,AK,Passenger,0,1,1,35,36,2.78
May 31 2024,Providence,RI,Passenger,1,0,1,19,20,5.00
July 31 2020,Spokane,WA,Passenger,752,482,1234,316195,317429,0.39
October 31 2022,Clallam,WA,Passenger,455,252,707,49388,50095,1.41
June 30 2017,Wahkiakum,WA,Truck,0,0,0,1645,1645,0.00
May 31 2020,Dakota,MN,Passenger,0,1,1,29,30,3.33
December 31 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
October 31 2023,Yakima,WA,Passenger,597,283,880,166187,167067,0.53
August 31 2017,Pacific,WA,Passenger,10,9,19,15239,15258,0.12
July 31 2023,Cowlitz,WA,Passenger,483,223,706,69762,70468,1.00
August 31 2023,District of Columbia,DC,Passenger,2,0,2,137,139,1.44
April 30 2022,Walla Walla,WA,Truck,0,0,0,14010,14010,0.00
May 31 2020,Dallas,TX,Passenger,1,0,1,214,215,0.47
April 30 2023,Washoe,NV,Passenger,2,0,2,59,61,3.28
May 31 2023,Skagit,WA,Truck,19,0,19,31903,31922,0.06
September 30 2020,Skamania,WA,Passenger,32,22,54,8360,8414,0.64
June 30 2022,Larimer,CO,Passenger,1,0,1,45,46,2.17
July 31 2022,District of Columbia,DC,Passenger,2,0,2,163,165,1.21
April 30 2024,Lane,OR,Passenger,0,1,1,60,61,1.64
January 31 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
August 31 2020,Chatham,NC,Passenger,1,0,1,6,7,14.29
January 31 2018,Orange,CA,Passenger,3,1,4,591,595,0.67
June 30 2023,Spotsylvania,VA,Passenger,1,0,1,28,29,3.45
April 30 2023,Providence,RI,Passenger,1,0,1,20,21,4.76
August 31 2021,Saginaw,MI,Passenger,1,0,1,8,9,11.11
September 30 2017,Skamania,WA,Passenger,10,7,17,8570,8587,0.20
November 30 2021,Contra Costa,CA,Passenger,1,3,4,251,255,1.57
June 30 2024,Clark,NV,Passenger,5,3,8,388,396,2.02
October 31 2021,Geary,KS,Passenger,1,0,1,103,104,0.96
October 31 2023,Mohave,AZ,Passenger,1,0,1,41,42,2.38
June 30 2019,Nantucket,MA,Passenger,1,0,1,2,3,33.33
November 30 2022,Columbia,WA,Passenger,8,1,9,2426,2435,0.37
February 28 2018,Salt Lake,UT,Passenger,1,0,1,245,246,0.41
July 31 2018,Broward,FL,Passenger,1,1,2,132,134,1.49
April 30 2020,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
November 30 2022,Camden,NJ,Passenger,0,1,1,11,12,8.33
May 31 2024,Cameron,TX,Passenger,1,0,1,15,16,6.25
August 31 2019,Prince George's,MD,Passenger,1,1,2,183,185,1.08
May 31 2022,Philadelphia,PA,Passenger,1,0,1,46,47,2.13
July 31 2024,Sedgwick,KS,Passenger,0,1,1,47,48,2.08
April 30 2021,Tarrant,TX,Passenger,1,0,1,167,168,0.60
July 31 2022,Allen,IN,Passenger,1,0,1,18,19,5.26
July 31 2022,Bartow,GA,Passenger,0,1,1,4,5,20.00
September 30 2022,Yellowstone,MT,Passenger,0,1,1,23,24,4.17
April 30 2021,Klickitat,WA,Passenger,67,47,114,15175,15289,0.75
December 31 2017,Adams,WA,Truck,0,0,0,5126,5126,0.00
July 31 2020,,,Passenger,6,1,7,368,375,1.87
July 31 2022,Nassau,NY,Passenger,4,0,4,31,35,11.43
May 31 2022,San Juan,WA,Passenger,494,153,647,14083,14730,4.39
June 30 2022,Tarrant,TX,Passenger,4,0,4,136,140,2.86
March 31 2017,Prince William,VA,Passenger,0,4,4,274,278,1.44
February 28 2019,Pend Oreille,WA,Truck,0,0,0,5739,5739,0.00
May 31 2017,Okaloosa,FL,Passenger,1,0,1,184,185,0.54
October 31 2020,Maricopa,AZ,Passenger,8,9,17,1499,1516,1.12
November 30 2024,Fresno,CA,Passenger,0,1,1,105,106,0.94
January 31 2022,Maui,HI,Passenger,1,0,1,28,29,3.45
September 30 2024,Gwinnett,GA,Passenger,1,0,1,39,40,2.50
September 30 2021,Henrico,VA,Passenger,0,1,1,20,21,4.76
November 30 2020,Chatham,NC,Passenger,1,0,1,5,6,16.67
January 31 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
May 31 2019,Randolph,NC,Passenger,1,0,1,5,6,16.67
March 31 2022,Botetourt,VA,Passenger,1,0,1,0,1,100.00
February 29 2024,Pend Oreille,WA,Passenger,33,21,54,8746,8800,0.61
October 31 2022,Cook,IL,Passenger,2,0,2,200,202,0.99
June 30 2023,Kings,CA,Passenger,2,2,4,271,275,1.45
February 29 2024,Douglas,WA,Truck,11,0,11,13058,13069,0.08
May 31 2018,Pinal,AZ,Passenger,2,0,2,218,220,0.91
November 30 2018,Wahkiakum,WA,Passenger,1,1,2,2982,2984,0.07
April 30 2017,Pierce,WA,Truck,0,0,0,137775,137775,0.00
April 30 2022,San Diego,CA,Passenger,16,6,22,2538,2560,0.86
February 28 2021,Ventura,CA,Passenger,1,2,3,293,296,1.01
July 31 2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33
August 31 2024,Yolo,CA,Passenger,3,0,3,22,25,12.00
February 28 2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33
July 31 2017,Clallam,WA,Passenger,93,77,170,48411,48581,0.35
April 30 2020,Skagit,WA,Truck,1,0,1,32376,32377,0.00
September 30 2020,St. Mary's,MD,Passenger,1,0,1,216,217,0.46
January 31 2020,Charleston,SC,Passenger,1,0,1,112,113,0.88
July 31 2018,Frederick,MD,Passenger,0,1,1,83,84,1.19
November 30 2022,Harnett,NC,Passenger,3,0,3,164,167,1.80
August 31 2023,Prince George,VA,Passenger,1,0,1,47,48,2.08
March 31 2024,Sussex,NJ,Passenger,1,0,1,2,3,33.33
December 31 2022,Brown,WI,Passenger,1,0,1,7,8,12.50
October 31 2022,Pierce,WA,Truck,62,0,62,139881,139943,0.04
September 30 2021,Chelan,WA,Passenger,375,104,479,54729,55208,0.87
April 30 2018,Clark,NV,Passenger,2,3,5,782,787,0.64
February 28 2019,Richland,SC,Passenger,0,1,1,164,165,0.61
October 31 2017,Fulton,GA,Passenger,1,0,1,110,111,0.90
November 30 2020,Powhatan,VA,Passenger,1,0,1,1,2,50.00
November 30 2023,San Luis Obispo,CA,Passenger,1,1,2,44,46,4.35
August 31 2017,Walla Walla,WA,Passenger,27,27,54,34969,35023,0.15
September 30 2019,Los Angeles,CA,Passenger,7,7,14,1130,1144,1.22
March 31 2020,Klickitat,WA,Truck,0,0,0,8269,8269,0.00
March 31 2018,Garfield,WA,Passenger,1,0,1,1331,1332,0.08
December 31 2019,Deschutes,OR,Passenger,4,0,4,166,170,2.35
February 28 2023,Harris,TX,Passenger,1,1,2,180,182,1.10
November 30 2020,Tarrant,TX,Passenger,1,0,1,176,177,0.56
October 31 2020,Richland,SC,Passenger,0,1,1,146,147,0.68
March 31 2022,Yavapai,AZ,Passenger,0,1,1,38,39,2.56
January 31 2020,Wahkiakum,WA,Truck,0,0,0,1758,1758,0.00
May 31 2023,Harford,MD,Passenger,1,1,2,43,45,4.44
July 31 2024,Collin,TX,Passenger,3,0,3,42,45,6.67
August 31 2024,Caddo,LA,Passenger,2,0,2,11,13,15.38
February 29 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
April 30 2023,Snohomish,WA,Truck,144,0,144,121629,121773,0.12
February 28 2019,Washtenaw,MI,Passenger,1,0,1,37,38,2.63
August 31 2019,Douglas,NE,Passenger,0,1,1,65,66,1.52
May 31 2023,Hillsborough,FL,Passenger,1,1,2,124,126,1.59
September 30 2018,Marion,OR,Passenger,1,0,1,126,127,0.79
October 31 2017,Douglas,WA,Passenger,36,32,68,26961,27029,0.25
March 31 2021,Collin,TX,Passenger,2,1,3,130,133,2.26
May 31 2024,Platte,MO,Passenger,2,0,2,16,18,11.11
October 31 2021,Carroll,MD,Passenger,0,1,1,18,19,5.26
November 30 2020,Sarasota,FL,Passenger,2,0,2,41,43,4.65
June 30 2022,Hamilton,IN,Passenger,1,0,1,28,29,3.45
March 31 2024,Chatham,NC,Passenger,1,0,1,4,5,20.00
May 31 2018,Pierce,WA,Truck,0,0,0,137489,137489,0.00
November 30 2020,Pend Oreille,WA,Passenger,9,4,13,9136,9149,0.14
June 30 2018,Wahkiakum,WA,Truck,0,0,0,1675,1675,0.00
September 30 2018,Maricopa,AZ,Passenger,1,2,3,1660,1663,0.18
March 31 2019,Jefferson,WA,Truck,0,0,0,9641,9641,0.00
June 30 2020,DeKalb,GA,Passenger,1,0,1,86,87,1.15
February 28 2019,Gwinnett,GA,Passenger,0,1,1,80,81,1.23
March 31 2020,Clay,FL,Passenger,0,1,1,84,85,1.18
June 30 2022,Montgomery,PA,Passenger,2,0,2,25,27,7.41
March 31 2020,Snohomish,WA,Passenger,4367,1747,6114,537148,543262,1.13
April 30 2018,Adams,WA,Passenger,5,4,9,12516,12525,0.07
February 28 2021,Island,WA,Truck,0,0,0,21382,21382,0.00
May 31 2023,Franklin,OH,Passenger,1,0,1,58,59,1.69
November 30 2022,Calvert,MD,Passenger,0,2,2,83,85,2.35
February 28 2018,Kent,MI,Passenger,0,1,1,36,37,2.70
March 31 2024,Okanogan,WA,Truck,12,0,12,16363,16375,0.07
April 30 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
May 31 2018,Essex,MA,Passenger,1,0,1,26,27,3.70
March 31 2021,Owyhee,ID,Passenger,1,0,1,3,4,25.00
November 30 2019,Arapahoe,CO,Passenger,1,0,1,151,152,0.66
August 31 2022,Dorchester,SC,Passenger,1,0,1,61,62,1.61
April 30 2018,Hamilton,TN,Passenger,1,0,1,24,25,4.00
November 30 2021,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
July 31 2024,New Haven,CT,Passenger,2,2,4,18,22,18.18
August 31 2018,Jefferson,WA,Passenger,152,101,253,24668,24921,1.02
August 31 2022,Island,WA,Passenger,851,377,1228,61467,62695,1.96
November 30 2022,Berkeley,SC,Passenger,0,1,1,134,135,0.74
May 31 2024,Berkeley,SC,Passenger,2,1,3,88,91,3.30
March 31 2024,Sacramento,CA,Passenger,2,1,3,155,158,1.90
